batch,page_url,page_id,page_slug,page_title,tier,media_id,image_file,image_src,rendered_alt,alt_state,classification,fix_surface,media_library_alt,media_library_title,proposed_alt,needs_ncr,confidence,notes
batch-0,https://kriskrug.co/2007/03/21/how-to-support-mobile-content-creation-in-drupal/,1197,how-to-support-mobile-content-creation-in-drupal,How to support Mobile Content Creation in Drupal,5-strat-2007,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2007/04/04/headshots-for-local-actor-mark-huculak/,1207,headshots-for-local-actor-mark-huculak,Headshots for Local Actor Mark Huculak,5-strat-2007,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2007/12/19/audio-tips-on-how-to-take-better-holiday-pictures/,1237,audio-tips-on-how-to-take-better-holiday-pictures,AUDIO: Tips on How to Take Better Holiday Pictures,5-strat-2007,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2008/03/27/ion-magazine-new-vancouver-fashion-music-culture-and-art-blog/,1240,ion-magazine-new-vancouver-fashion-music-culture-and-art-blog,"ION Magazine – New Vancouver Fashion, Music, Culture and Art Blog",5-strat-2008,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2008/06/13/photography-exhibition-for-charity-at-orb-gallery-in-vancouver/,1244,photography-exhibition-for-charity-at-orb-gallery-in-vancouver,Photography Exhibition for Charity at Orb Gallery in Vancouver,5-strat-2008,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2008/11/18/social-media-training-for-journalists-at-cbc/,1247,social-media-training-for-journalists-at-cbc,Social Media Training for Journalists at CBC,5-strat-2008,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2008/12/30/china-business-comes-to-sxsw-interactive/,1250,china-business-comes-to-sxsw-interactive,China Business comes to SXSW Interactive,5-strat-2008,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2009/07/14/from-a-web-of-pages-to-a-web-of-streams-presentation-for-sxsw-2010/,1360,from-a-web-of-pages-to-a-web-of-streams-presentation-for-sxsw-2010,‘From a Web of Pages to a Web of Streams’ Presentation for SXSW 2010,5-strat-2009,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2009/08/18/ted-comes-to-vancouver-speaker-nominations-for-tedxvan/,1448,ted-comes-to-vancouver-speaker-nominations-for-tedxvan,TED Comes to Vancouver : Speaker Nominations for TEDxVan,5-strat-2009,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2009/10/18/best-linkedin-recommendation-evah/,1528,best-linkedin-recommendation-evah,Best LinkedIn Recommendation Evah!,5-strat-2009,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2009/12/18/vancouver-represents-at-un-climate-change-summit-in-copenhagen/,1582,vancouver-represents-at-un-climate-change-summit-in-copenhagen,Vancouver Represents At UN Climate Change Summit in Copenhagen,5-strat-2009,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2010/06/13/ted-x-oil-spill-expedition-headed-to-new-orleans-the-gulf-of-mexico/,1679,ted-x-oil-spill-expedition-headed-to-new-orleans-the-gulf-of-mexico,TED x Oil Spill EXPEDITION: Headed to New Orleans & The Gulf of Mexico,5-strat-2010,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2010/08/25/so-whatcha-been-up-to-summer-photography-update-2010/,1729,so-whatcha-been-up-to-summer-photography-update-2010,“So Whatcha Been Up To?” – Summer Photography Update 2010,5-strat-2010,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2010/11/15/the-waldorf-hotel-the-beatty-street-mural/,1790,the-waldorf-hotel-the-beatty-street-mural,The Waldorf Hotel & The Beatty Street Mural,5-strat-2010,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2010/12/27/the-future-of-fashion-photography/,1841,the-future-of-fashion-photography,The Future of Fashion Photography,5-strat-2010,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2011/02/01/what-we-leave-behind-is-our-digital-footprint/,1869,what-we-leave-behind-is-our-digital-footprint,What we leave behind is our digital footprint…,5-strat-2011,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2011/04/01/cbc-interview-plastic-pollution-the-oceans/,1913,cbc-interview-plastic-pollution-the-oceans,CBC Interview: Plastic Pollution & The Oceans,5-strat-2011,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2011/04/27/a-rolling-stone-gathers-no-moss-africa-south-america-the-pacific-ocean/,1916,a-rolling-stone-gathers-no-moss-africa-south-america-the-pacific-ocean,A rolling stone gathers no moss.,5-strat-2011,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2011/11/19/workin-with-the-united-nations-on-a-digital-crowdsourcing-campaign-to-stop-the-spread-of-hiv/,1934,workin-with-the-united-nations-on-a-digital-crowdsourcing-campaign-to-stop-the-spread-of-hiv,Workin With The United Nations On A Digital Crowdsourcing Campaign to Stop HIV / AIDS,5-strat-2011,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2012/07/06/this-is-east-van-community-art-yvr/,1954,this-is-east-van-community-art-yvr,This Is East Van #Community #Art #YVR,5-strat-2012,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2013/07/26/sunning-surfing-in-baja-california-mexico/,1974,sunning-surfing-in-baja-california-mexico,Sunning & Surfing in Baja Mexico,5-strat-2013,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2013/08/22/preparation-under-way-for-south-by-southwest-2014-in-austin-texas/,2001,preparation-under-way-for-south-by-southwest-2014-in-austin-texas,"Preparation Under Way For South By Southwest 2014 in Austin, Texas",5-strat-2013,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2013/09/14/pilot-school-flying-in-the-direction-of-my-dreams/,1975,pilot-school-flying-in-the-direction-of-my-dreams,Pilot School – Flying in the Direction of my Dreams,5-strat-2013,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2015/04/29/engineering-serendipity-interview-w-chris-coldewey/,2175,engineering-serendipity-interview-w-chris-coldewey,Engineering Serendipity interview w/ Chris Coldewey,5-strat-2015,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2015/05/05/king-fisher-galiano-island-salmon-classic-fishing-derby/,2179,king-fisher-galiano-island-salmon-classic-fishing-derby,RECAP: 2015 King Fisher Galiano Island Salmon Classic Fishing Derby,5-strat-2015,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2015/08/14/what-is-the-unique-value-that-female-artists-bring-to-electronic-dance-music/,2209,what-is-the-unique-value-that-female-artists-bring-to-electronic-dance-music,What is the unique value that female artists bring to electronic dance music?,5-strat-2015,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2015/09/08/aerial-photography-combining-my-loves-for-flying-and-making-photos/,2213,aerial-photography-combining-my-loves-for-flying-and-making-photos,Aerial Photography: Combining my loves for flying and making photos!,5-strat-2015,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2016/01/03/folsom-california-christmas-bird-inventory/,2227,folsom-california-christmas-bird-inventory,Folsom California Christmas Bird Inventory 2015,5-strat-2016,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2016/01/13/bookworms-wordnerds-unite-on-galiano-island/,2232,bookworms-wordnerds-unite-on-galiano-island,#BookWorms & #WordNerds Unite on Galiano Island for 2016 Literary Festival,5-strat-2016,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2016/08/11/phillimore-point-galiano-island-summer-2016-bird-inventory/,2255,phillimore-point-galiano-island-summer-2016-bird-inventory,Phillimore Point Galiano Island Summer 2016 Bird Inventory,5-strat-2016,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2017/01/20/sharon-anderson-morris/,2287,sharon-anderson-morris,Sharon Anderson Morris – Empowering independent documentary films – FiReFilms,5-strat-2017,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2019/03/30/dent-2019-photo-recap-gallery/,2423,dent-2019-photo-recap-gallery,DENT the Future 2019 Photo Recap & Gallery,5-strat-2019,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2019/04/02/upcoming-galiano-island-events/,2424,upcoming-galiano-island-events,"Upcoming Galiano Island Events: BioBlitz, Pirate Regatta, Tour des Iles & Instagram Workshop",5-strat-2019,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2019/04/10/small-art-printmaking-press-on-whaler-bay-galiano-island/,2461,small-art-printmaking-press-on-whaler-bay-galiano-island,"Small Art Printmaking Press on Whaler Bay, Galiano Island",5-strat-2019,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2019/06/10/feelmore-plants-a-gardening-pop-up-shop-in-vancouvers-west-end/,2496,feelmore-plants-a-gardening-pop-up-shop-in-vancouvers-west-end,Feelmore Plants – A Gardening Pop-Up Shop in Vancouver’s West End,5-strat-2019,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2020/05/29/cultivating-connections-the-inspiring-story-of-galiano-island-community-schools-garden-greenhouse-project/,2644,cultivating-connections-the-inspiring-story-of-galiano-island-community-schools-garden-greenhouse-project,Cultivating Connections: The Inspiring Story of Galiano Island Community School’s Garden & Greenhouse Project,5-strat-2020,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2021/05/28/dive-into-ruganzu-brunos-ecoart-residency-in-kampala-uganda/,2643,dive-into-ruganzu-brunos-ecoart-residency-in-kampala-uganda,"Dive into Ruganzu Bruno’s EcoArt Residency in Kampala, Uganda!",5-strat-2021,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2023/08/30/the-artist-profile-of-charlie-blackcat-smith-the-johnny-appleseed-of-burning-man/,2930,the-artist-profile-of-charlie-blackcat-smith-the-johnny-appleseed-of-burning-man,The Artist Profile of Charlie Blackcat Smith: The Johnny Appleseed of Burning Man,5-strat-2023,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2023/09/29/the-future-called-i-answered/,3330,the-future-called-i-answered,The Future Called: I Answered,5-strat-2023,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2023/10/26/embarking-on-a-digital-news-voyage-week-1-recap-of-the-google-news-initiative-pre-launch-lab/,3764,embarking-on-a-digital-news-voyage-week-1-recap-of-the-google-news-initiative-pre-launch-lab,Google News Initiative Pre-Launch Lab: Building AI,5-strat-2023,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2023/12/28/building-ai-companions-w-john-anthony-hartman-of-ihaverobots/,4372,building-ai-companions-w-john-anthony-hartman-of-ihaverobots,Building AI Companions w/ John Anthony Hartman of IHAVEROBOTS,5-strat-2023,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/03/15/exploring-the-intersection-of-gaming-and-mental-health/,4997,exploring-the-intersection-of-gaming-and-mental-health,Exploring the Intersection of Gaming and Mental Health,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/03/18/death-of-the-follower-the-future-of-creativity-on-the-web/,5020,death-of-the-follower-the-future-of-creativity-on-the-web,Death of the Follower & the Future of Creativity on the Web,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/03/30/the-creative-quest-ai-art-and-the-adaptability-paradox/,5160,the-creative-quest-ai-art-and-the-adaptability-paradox,The Adaptability Paradox,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/03/30/the-future-is-verified-insights-and-critical-reflections-from-interacs-vip-talk-at-sxsw/,5078,the-future-is-verified-insights-and-critical-reflections-from-interacs-vip-talk-at-sxsw,The Future is Verified: Insights and Critical Reflections from Interac’s VIP Talk at SXSW,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/04/04/spaceport-vancouver-ai-community-meetup/,5217,spaceport-vancouver-ai-community-meetup,Spaceport Vancouver: AI Community Meetup,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/04/05/ai-skills-for-tommorows-storytellers-with-openai-creative-director-souki-mansoor/,5236,ai-skills-for-tommorows-storytellers-with-openai-creative-director-souki-mansoor,AI Skills for Tomorrow’s Storytellers with OpenAI Creator Community Specialist Souki Mansoor,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/04/08/the-cyborg-future-when-sci-fi-gets-real-and-complicated/,5285,the-cyborg-future-when-sci-fi-gets-real-and-complicated,The Cyborg Future: When Sci-Fi Gets Real (And Complicated),4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/04/16/from-timbits-to-tech-titans-guy-kawasakis-blueprint-for-innovation/,5344,from-timbits-to-tech-titans-guy-kawasakis-blueprint-for-innovation,From Timbits to Tech Titans: Guy Kawasaki’s Blueprint for Innovation,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/04/19/not-all-white-guys-unpacking-the-wealth-tax-debate-in-canada/,5371,not-all-white-guys-unpacking-the-wealth-tax-debate-in-canada,Not All White Guys: Unpacking the Wealth Tax Debate in Canada,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/04/20/ai-mindset-keynote-at-innovate-west-2024-in-vancouver/,5357,ai-mindset-keynote-at-innovate-west-2024-in-vancouver,AI Mindset Keynote at Innovate West 2024 in Vancouver,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/04/20/the-creative-disruption-ai-crashes-the-art-party/,5385,the-creative-disruption-ai-crashes-the-art-party,The Creative Disruption: AI Crashes the Art Party,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/05/04/cognitive-ai-creativity-and-ethics-w-professor-steve-dipaola/,5489,cognitive-ai-creativity-and-ethics-w-professor-steve-dipaola,"Cognitive AI, Creativity, and Ethics w/ Professor Steve DiPaola",4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2024/05/04/the-metacreative-code-philippe-pasquiers-remix-of-ai-and-creative-arts/,5505,the-metacreative-code-philippe-pasquiers-remix-of-ai-and-creative-arts,The Metacreative Code: Philippe Pasquier’s Remix of AI and Creative Arts,4-archive-sample,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
