source_url,target_url,anchor_text,section_hint,http_status
https://kriskrug.co/2024/06/02/june-vancouver-ai-community-meetup-recap-a-confluence-of-minds-and-machines/,https://kriskrug.co/events/,"still monthly, still free, still worth the trip","Final paragraph, before the collection footer",200
https://kriskrug.co/2023/12/27/2024-vancouver-ai-community-meetups/,https://kriskrug.co/events/,"the live calendar, which is the version that stays current","Intro section, high in the post, ahead of the 2023-era external link list",200
https://kriskrug.co/vancouver-ai/,https://kriskrug.co/events/,the calendar,"Events and recaps card, block 11, added beside the existing Browse AI events link",200
https://kriskrug.co/ai-for-creatives/,https://kriskrug.co/2023/05/30/the-cyber-love-garden-a-crossroads-of-art-and-ai-at-otherworld/,The Cyber Love Garden,"Read next section, new card",200
https://kriskrug.co/2023/08/16/exquisite-corpse-collaborative-ai-art-experiment-on-discord-w-midjourney-zoom-out/,https://kriskrug.co/2023/05/30/the-cyber-love-garden-a-crossroads-of-art-and-ai-at-otherworld/,the garden where we ran this in person,"Discord experiment paragraph, trailing sentence",200
https://kriskrug.co/2023/07/06/headed-to-burning-man-shambhala-or-coachella-ignite-your-festival-persona/,https://kriskrug.co/2023/05/30/the-cyber-love-garden-a-crossroads-of-art-and-ai-at-otherworld/,what we built at Otherworld,"Body, trailing sentence",200
https://kriskrug.co/2023/10/15/community-art-project-development-process-guide/,https://kriskrug.co/2023/05/30/the-cyber-love-garden-a-crossroads-of-art-and-ai-at-otherworld/,a worked example of all of this,"Intro paragraph, trailing sentence",200
https://kriskrug.co/2023/08/16/exquisite-corpse-collaborative-ai-art-experiment-on-discord-w-midjourney-zoom-out/,https://kriskrug.co/contact/,get in touch,"Repair, replaces the dead kriskrug.com/contact link in place",200
https://kriskrug.co/2026/07/31/ai-lands-inside-every-profession/,https://kriskrug.co/speaking/,I give a talk about exactly this,"Closing section, before the collection footer",200
https://kriskrug.co/2026/06/26/canada-doesnt-need-a-bigger-ai-machine-it-needs-a-better-one/,https://kriskrug.co/about/,why I keep saying this out loud,"Closing paragraph, before the collection footer",200
https://kriskrug.co/2026/05/04/punk-rock-ai/,https://kriskrug.co/glossary/,plain definitions for the words in here,"Early body, first appearance of a term of art",200
https://kriskrug.co/photography/,https://kriskrug.co/2007/04/10/checklist-of-model-photographer-negotiation-items/,the negotiation checklist I wrote in 2007 and still stand behind,"Block 23, closing section, alongside the archive links",200
https://kriskrug.co/2007/04/27/to-all-you-wannabe-fashion-photographers/,https://kriskrug.co/2007/04/10/checklist-of-model-photographer-negotiation-items/,the checklist version of this rant,"Final paragraph, before the collection footer",200
https://kriskrug.co/2006/10/23/kk-on-modelmayhemcom/,https://kriskrug.co/2007/04/10/checklist-of-model-photographer-negotiation-items/,the one useful thing I posted over there,"Block 2, trailing sentence",200
https://kriskrug.co/2007/04/10/checklist-of-model-photographer-negotiation-items/,https://kriskrug.co/photography/,twenty years of shooting since I wrote this,"Closing line of the rewritten post, before the collection footer",200
